Datetime,Water Level (m)
2023-03-16 06:00:00,-0.46836847
2023-03-16 07:00:00,-0.59462816
2023-03-16 08:00:00,-0.675978
2023-03-16 09:00:00,-0.6277329
2023-03-16 10:00:00,-0.48224363
2023-03-16 11:00:00,-0.3040003
2023-03-16 12:00:00,-0.09561483
2023-03-16 13:00:00,0.11648671
2023-03-16 14:00:00,0.27959144
2023-03-16 15:00:00,0.33199897
2023-03-16 16:00:00,0.23256999
2023-03-16 17:00:00,0.08990492
2023-03-16 18:00:00,-0.062428977
2023-03-16 19:00:00,-0.22287099
2023-03-16 20:00:00,-0.38482463
2023-03-16 21:00:00,-0.5267387
2023-03-16 22:00:00,-0.6093876
2023-03-16 23:00:00,-0.5511142
2023-03-17 00:00:00,-0.40473387
2023-03-17 01:00:00,-0.24760652
2023-03-17 02:00:00,-0.09760836
2023-03-17 03:00:00,0.0055554714
2023-03-17 04:00:00,0.0070264055
2023-03-17 05:00:00,-0.10483695
2023-03-17 06:00:00,-0.23684631
2023-03-17 07:00:00,-0.38137618
2023-03-17 08:00:00,-0.5316249
2023-03-17 09:00:00,-0.6666131
2023-03-17 10:00:00,-0.73741597
2023-03-17 11:00:00,-0.6273087
2023-03-17 12:00:00,-0.43821317
2023-03-17 13:00:00,-0.22068118
2023-03-17 14:00:00,0.01595205
2023-03-17 15:00:00,0.2339781
2023-03-17 16:00:00,0.37612045
2023-03-17 17:00:00,0.36486188
2023-03-17 18:00:00,0.22146845
2023-03-17 19:00:00,0.062520154
2023-03-17 20:00:00,-0.112130016
2023-03-17 21:00:00,-0.29478762
2023-03-17 22:00:00,-0.47602984
2023-03-17 23:00:00,-0.6271493
2023-03-18 00:00:00,-0.6602108
2023-03-18 01:00:00,-0.48893622
2023-03-18 02:00:00,-0.282501
2023-03-18 03:00:00,-0.07829719
2023-03-18 04:00:00,0.09093849
2023-03-18 05:00:00,0.154285
2023-03-18 06:00:00,0.055726156
2023-03-18 07:00:00,-0.092542395
2023-03-18 08:00:00,-0.24461415
2023-03-18 09:00:00,-0.41221058
2023-03-18 10:00:00,-0.5805384
2023-03-18 11:00:00,-0.718741
2023-03-18 12:00:00,-0.7148288
2023-03-18 13:00:00,-0.50776833
2023-03-18 14:00:00,-0.25451204
2023-03-18 15:00:00,0.029547466
2023-03-18 16:00:00,0.30349833
2023-03-18 17:00:00,0.49261805
2023-03-18 18:00:00,0.49439985
2023-03-18 19:00:00,0.32159537
2023-03-18 20:00:00,0.14330594
2023-03-18 21:00:00,-0.047802206
2023-03-18 22:00:00,-0.2473621
2023-03-18 23:00:00,-0.44676733
2023-03-19 00:00:00,-0.62400454
2023-03-19 01:00:00,-0.6702473
2023-03-19 02:00:00,-0.45748878
2023-03-19 03:00:00,-0.20368168
2023-03-19 04:00:00,0.055878043
2023-03-19 05:00:00,0.28171313
2023-03-19 06:00:00,0.3747728
2023-03-19 07:00:00,0.24402769
2023-03-19 08:00:00,0.06739776
2023-03-19 09:00:00,-0.1086489
2023-03-19 10:00:00,-0.2986744
2023-03-19 11:00:00,-0.4955381
2023-03-19 12:00:00,-0.6746237
2023-03-19 13:00:00,-0.7345365
2023-03-19 14:00:00,-0.5019479
2023-03-19 15:00:00,-0.20907208
2023-03-19 16:00:00,0.10670148
2023-03-19 17:00:00,0.40737388
2023-03-19 18:00:00,0.60812473
2023-03-19 19:00:00,0.5971831
2023-03-19 20:00:00,0.40360606
2023-03-19 21:00:00,0.21192269
2023-03-19 22:00:00,0.009820946
2023-03-19 23:00:00,-0.2015357
2023-03-20 00:00:00,-0.41399246
2023-03-20 01:00:00,-0.6018168
2023-03-20 02:00:00,-0.61568
2023-03-20 03:00:00,-0.351449
2023-03-20 04:00:00,-0.054315206
2023-03-20 05:00:00,0.2477899
2023-03-20 06:00:00,0.4882542
2023-03-20 07:00:00,0.54376805
2023-03-20 08:00:00,0.3609318
2023-03-20 09:00:00,0.16961092
2023-03-20 10:00:00,-0.02205831
2023-03-20 11:00:00,-0.2235519
2023-03-20 12:00:00,-0.4264092
2023-03-20 13:00:00,-0.61129713
2023-03-20 14:00:00,-0.6193575
2023-03-20 15:00:00,-0.33627197
2023-03-20 16:00:00,-0.0075718905
2023-03-20 17:00:00,0.3367113
2023-03-20 18:00:00,0.63288236
2023-03-20 19:00:00,0.78407043
2023-03-20 20:00:00,0.6610408
2023-03-20 21:00:00,0.44768804
2023-03-20 22:00:00,0.24119128
2023-03-20 23:00:00,0.02218701
2023-03-21 00:00:00,-0.20433371
2023-03-21 01:00:00,-0.42683384
2023-03-21 02:00:00,-0.61252546
2023-03-21 03:00:00,-0.5317969
2023-03-21 04:00:00,-0.23263732
2023-03-21 05:00:00,0.09555612
2023-03-21 06:00:00,0.41483465
2023-03-21 07:00:00,0.6395985
2023-03-21 08:00:00,0.6113283
2023-03-21 09:00:00,0.40079528
2023-03-21 10:00:00,0.20598468
2023-03-21 11:00:00,-0.0009562988
2023-03-21 12:00:00,-0.21535157
2023-03-21 13:00:00,-0.4292274
2023-03-21 14:00:00,-0.6149697
2023-03-21 15:00:00,-0.5470435
2023-03-21 16:00:00,-0.253893
2023-03-21 17:00:00,0.07919127
2023-03-21 18:00:00,0.42194512
2023-03-21 19:00:00,0.6987211
2023-03-21 20:00:00,0.7742962
2023-03-21 21:00:00,0.57116556
2023-03-21 22:00:00,0.355504
2023-03-21 23:00:00,0.14335224
2023-03-22 00:00:00,-0.082958326
2023-03-22 01:00:00,-0.31098056
2023-03-22 02:00:00,-0.531112
2023-03-22 03:00:00,-0.6757168
2023-03-22 04:00:00,-0.45484078
2023-03-22 05:00:00,-0.12841365
2023-03-22 06:00:00,0.22201212
